ID_Municipio;Nome_Municipio;Mesorregiao;Porte
1;Cuiabá;Centro-Sul Mato-Grossense;Grande
2;Várzea Grande;Centro-Sul Mato-Grossense;Grande
3;Rondonópolis;Sudeste Mato-Grossense;Médio
4;Sinop;Norte Mato-Grossense;Médio
5;Tangará da Serra;Sudoeste Mato-Grossense;Médio
6;Sorriso;Norte Mato-Grossense;Médio
7;Lucas do Rio Verde;Norte Mato-Grossense;Médio
8;Cáceres;Sudoeste Mato-Grossense;Médio
9;Primavera do Leste;Sudeste Mato-Grossense;Médio
10;Alta Floresta;Norte Mato-Grossense;Pequeno
11;Barra do Garças;Leste Mato-Grossense;Pequeno
12;Nova Mutum;Norte Mato-Grossense;Pequeno
13;Colíder;Norte Mato-Grossense;Pequeno
14;Pontes e Lacerda;Sudoeste Mato-Grossense;Pequeno
15;Juara;Noroeste Mato-Grossense;Pequeno
