ID_Tributo;Descricao;Categoria
1;IPTU - Imposto Predial e Territorial Urbano;Impostos Próprios
2;ISS - Imposto sobre Serviços de Qualquer Natureza;Impostos Próprios
3;ITBI - Imposto de Transmissão de Bens Imóveis;Impostos Próprios
4;IRRF - Imposto de Renda Retido na Fonte;Impostos Próprios
5;FPM - Fundo de Participação dos Municípios;Transferências Constitucionais
6;ICMS - Quota-Parte Municipal do ICMS;Transferências Constitucionais
7;ITR - Imposto Territorial Rural (repasse);Transferências Constitucionais
8;FUNDEB - Fundo da Educação Básica;Transferências Constitucionais
9;SUS - Transferência do Sistema Único de Saúde;Transferências Constitucionais
10;Taxa de Licença e Alvará de Funcionamento;Taxas e Contribuições
11;Taxa de Coleta de Resíduos Sólidos;Taxas e Contribuições
12;COSIP - Contrib. de Iluminação Pública;Taxas e Contribuições
13;Multas de Trânsito (DETRAN);Multas e Juros
14;Juros e Correção de Tributos em Atraso;Multas e Juros
15;Dívida Ativa Municipal;Multas e Juros
