ID_Escola;Nome_Escola;Regiao;Nivel_Ensino;Qtd_Alunos
1;EM João XXIII;Zona Norte;Fundamental;620
2;EM Maria Auxiliadora;Zona Sul;Fundamental;480
3;EM Santos Dumont;Centro;Fundamental e Médio;890
4;EM Tiradentes;Zona Leste;Médio;540
5;EM Anita Garibaldi;Zona Oeste;Fundamental;410
6;EM Getúlio Vargas;Zona Norte;Fundamental e Médio;750
7;EM Presidente Médici;Zona Sul;Fundamental;390
8;EM Rui Barbosa;Centro;Médio;560
9;EM Pedro Álvares Cabral;Zona Leste;Fundamental;670
10;EM Olavo Bilac;Zona Oeste;Fundamental e Médio;820
11;EM Machado de Assis;Zona Norte;Fundamental;440
12;EM Cláudio Manoel da Costa;Zona Sul;Médio;510
13;EM Cecília Meireles;Centro;Fundamental;590
14;EM Gonçalves Dias;Zona Leste;Fundamental e Médio;730
15;EM Drummond de Andrade;Zona Oeste;Fundamental;380
