ID_Data;ID_Escola;ID_Fornecedor;ID_Item;Valor_Empenhado
2;1;1;1;18500,00
2;3;1;2;22000,00
3;5;2;11;4800,00
3;7;2;12;3200,00
5;2;1;3;16800,00
5;9;7;6;2400,00
6;4;2;14;5600,00
8;6;3;21;42000,00
9;11;2;15;7200,00
9;13;5;36;680,00
10;1;1;4;14500,00
10;8;7;8;1800,00
12;15;2;17;2900,00
13;3;3;22;18500,00
13;10;5;37;540,00
14;2;4;29;6800,00
15;6;1;5;9200,00
15;12;2;19;3100,00
16;4;6;10;4500,00
17;7;3;23;12500,00
17;14;5;38;820,00
19;1;2;11;5200,00
19;9;4;30;4200,00
20;5;1;1;20000,00
20;11;7;7;3600,00
21;3;3;24;8900,00
22;8;2;13;6400,00
22;13;5;39;740,00
23;2;4;31;3800,00
23;15;1;2;17500,00
24;6;3;25;38000,00
26;4;2;12;4100,00
26;10;6;10;5100,00
27;7;5;36;720,00
27;12;1;3;15200,00
28;1;4;32;5600,00
29;9;2;15;8100,00
29;14;7;8;2100,00
30;3;3;21;7200,00
30;5;2;11;4600,00
32;8;1;4;13800,00
33;2;4;33;4900,00
33;11;5;40;580,00
34;6;3;26;9500,00
34;13;2;14;6200,00
35;4;1;1;19500,00
36;7;6;10;4800,00
37;15;2;17;3400,00
38;1;3;27;3200,00
39;9;4;29;5900,00
40;3;2;12;4400,00
40;10;7;6;2700,00
41;5;1;2;16000,00
42;12;5;37;620,00
43;8;3;23;11000,00
44;2;4;34;7800,00
44;14;2;15;7600,00
45;6;1;4;14200,00
49;4;6;10;5300,00
50;7;3;28;2800,00
51;11;2;11;5500,00
52;1;5;38;890,00
53;9;4;30;4500,00
54;3;1;1;21000,00
54;13;7;8;2300,00
55;5;3;25;45000,00
56;15;2;12;3800,00
57;8;4;31;4100,00
60;2;1;3;17800,00
61;6;2;14;6800,00
62;10;5;39;810,00
64;4;3;22;16000,00
64;12;6;10;5600,00
65;7;1;5;11200,00
66;1;2;13;7100,00
66;14;4;32;6200,00
67;9;3;26;8800,00
68;3;7;6;2900,00
69;5;2;15;8400,00
70;11;1;2;19000,00
71;8;5;36;780,00
72;2;4;29;5200,00
73;13;3;23;13500,00
74;6;1;4;13600,00
75;15;2;11;4900,00
75;4;6;10;5800,00
76;7;4;33;5100,00
77;1;3;21;7600,00
78;9;7;7;3900,00
79;10;2;12;4200,00
80;3;1;1;22500,00
82;5;5;38;950,00
