ID_Data;ID_Fornecedor;ID_Material;ID_Medico;Valor_Empenhado
2;1;2;1;1250,00
2;3;16;7;870,50
3;2;11;9;3400,00
5;4;27;2;540,00
5;5;36;3;18900,00
5;1;5;1;620,00
6;6;17;4;430,00
8;7;40;5;2100,00
9;2;12;8;1800,00
9;3;26;9;390,00
10;4;1;1;980,00
12;5;38;3;45000,00
12;8;20;6;210,00
13;1;3;2;760,00
14;6;28;7;480,00
15;2;13;8;7600,00
15;9;31;4;195,00
16;3;4;1;680,00
17;7;41;5;1350,00
19;4;18;6;320,00
20;1;6;9;540,00
20;10;29;2;730,00
21;5;14;3;5200,00
22;6;22;7;280,00
23;2;7;1;890,00
23;11;32;4;210,00
24;3;11;8;1700,00
26;8;2;5;1100,00
26;1;39;3;62000,00
27;9;24;6;150,00
28;4;8;2;830,00
29;7;33;9;230,00
30;2;15;7;4800,00
30;5;19;1;370,00
32;1;1;4;960,00
33;6;27;5;510,00
33;10;37;3;38000,00
34;3;5;2;640,00
35;4;21;8;460,00
36;2;10;1;1250,00
37;7;34;6;280,00
38;5;11;9;1900,00
39;1;4;3;700,00
40;3;28;2;550,00
41;8;42;5;1800,00
42;6;6;7;490,00
43;2;16;1;910,00
44;4;13;8;7100,00
44;9;25;4;180,00
45;1;3;6;820,00
47;5;44;3;3500,00
48;7;29;9;680,00
49;3;8;2;750,00
50;2;11;1;2100,00
51;6;20;5;420,00
52;1;35;4;240,00
53;10;38;3;41000,00
54;4;1;7;1050,00
54;8;23;6;190,00
55;3;6;2;570,00
56;5;30;1;810,00
57;2;14;9;5900,00
60;1;4;3;730,00
61;6;17;5;460,00
62;4;27;2;590,00
63;7;43;8;2700,00
64;3;11;1;2400,00
65;5;2;4;1150,00
65;9;36;6;16800,00
66;2;19;9;340,00
67;1;8;3;870,00
68;6;31;2;215,00
69;4;5;7;660,00
70;10;40;5;2300,00
71;3;13;1;7800,00
72;7;21;4;500,00
73;2;6;8;540,00
74;5;28;6;620,00
75;1;15;3;5100,00
75;8;24;9;160,00
76;4;3;2;790,00
77;3;37;5;36500,00
78;6;10;1;1300,00
79;2;22;7;310,00
80;1;11;4;2050,00
82;5;2;3;1180,00
83;4;45;6;28000,00
84;7;29;1;720,00
84;9;16;8;940,00
85;3;6;2;600,00
86;2;32;5;230,00
87;1;13;4;7400,00
88;6;4;9;680,00
90;4;8;3;830,00
91;5;39;7;55000,00
92;3;1;2;1020,00
