ID_Data;ID_Unidade;ID_Fornecedor;ID_Item;Valor_Empenhado
2;3;2;8;158000,00
2;4;8;31;4200,00
3;1;4;20;3800,00
3;6;8;32;5100,00
5;5;1;3;12500,00
6;3;8;31;4800,00
6;11;4;19;2900,00
8;2;4;14;6200,00
8;8;8;32;3900,00
9;7;4;20;4100,00
10;4;5;24;8500,00
10;3;8;31;4600,00
12;1;1;1;22000,00
12;6;3;21;18500,00
13;9;4;15;5500,00
13;3;8;32;4700,00
14;5;7;12;195000,00
15;11;4;20;3600,00
15;2;8;31;4300,00
16;8;5;25;42000,00
17;3;8;32;4900,00
19;4;4;14;6800,00
20;1;1;29;3200,00
20;6;8;31;5200,00
21;10;4;20;4200,00
22;3;5;22;28000,00
23;7;8;32;4100,00
23;11;1;2;18500,00
24;2;4;15;5800,00
24;3;8;31;4700,00
26;5;3;27;12800,00
26;9;4;16;3400,00
27;4;8;32;4500,00
28;1;1;30;2800,00
29;3;8;31;4800,00
29;6;4;20;3900,00
30;8;2;9;48000,00
30;11;8;32;4200,00
32;2;4;14;6500,00
33;3;8;31;4600,00
33;5;5;24;9200,00
34;7;1;29;3000,00
35;4;4;19;2800,00
35;3;8;32;4400,00
36;10;3;21;16800,00
37;1;4;15;5200,00
38;3;8;31;4700,00
39;6;1;2;21000,00
40;11;8;32;4100,00
40;2;4;20;4000,00
41;5;6;28;35000,00
42;3;8;31;4800,00
43;9;4;14;6900,00
44;4;1;30;2900,00
45;7;8;32;4300,00
45;3;4;18;3100,00
49;1;5;25;38000,00
50;3;8;31;5000,00
50;11;4;20;4100,00
51;2;1;29;3300,00
52;5;4;15;5600,00
53;3;8;32;4600,00
54;6;7;11;82000,00
54;10;4;16;3600,00
55;3;8;31;4900,00
56;4;1;3;14500,00
57;8;5;22;24000,00
60;3;8;32;4800,00
60;1;4;20;4200,00
61;11;4;14;6100,00
62;2;1;30;2700,00
64;5;4;19;3000,00
65;3;8;31;5100,00
65;9;3;23;11500,00
66;6;1;29;3500,00
67;4;4;15;5400,00
68;3;8;32;4500,00
68;7;2;8;162000,00
69;10;4;20;4300,00
70;3;8;31;4800,00
71;1;5;25;45000,00
72;11;4;14;6400,00
73;2;1;2;19500,00
74;3;8;32;4600,00
75;5;6;21;21000,00
75;8;4;16;3800,00
76;4;8;31;4700,00
77;3;1;30;3100,00
78;6;4;15;5700,00
79;3;8;32;4900,00
80;11;5;27;14200,00
82;1;4;20;4400,00
83;9;8;31;5200,00
84;2;1;3;16000,00
84;4;4;14;6600,00
85;3;8;32;4800,00
86;5;7;12;210000,00
87;7;4;19;3200,00
88;3;8;31;5000,00
90;10;3;22;26000,00
92;1;4;15;5800,00
92;3;8;32;4700,00
94;6;1;29;3600,00
95;11;4;20;4100,00
96;3;8;31;4900,00
97;2;5;25;52000,00
98;4;4;14;6800,00
99;3;8;32;4600,00
100;5;1;2;22000,00
101;8;4;16;3900,00
102;3;8;31;5100,00
103;9;4;15;5500,00
104;7;6;28;42000,00
105;3;8;32;4800,00
106;1;1;30;3200,00
107;11;4;20;4300,00
108;3;8;31;4700,00
109;4;5;23;13800,00
110;2;4;14;6200,00
112;3;8;32;4900,00
113;6;1;3;18500,00
114;5;4;19;3400,00
115;3;8;31;5200,00
116;10;2;9;55000,00
117;1;4;15;5900,00
118;3;8;32;4600,00
119;7;4;20;4000,00
120;11;1;29;3300,00
122;3;8;31;5000,00
123;4;4;14;6500,00
124;2;5;25;48000,00
125;3;8;32;4800,00
126;9;4;16;4000,00
127;5;1;2;24000,00
128;3;8;31;4900,00
129;6;4;20;4200,00
130;8;6;21;19500,00
131;3;8;32;4700,00
132;1;4;15;5600,00
133;11;1;30;3100,00
134;3;8;31;5100,00
135;2;4;14;6700,00
136;7;7;11;92000,00
137;3;8;32;4800,00
138;4;4;19;3600,00
139;5;5;27;15500,00
140;3;8;31;4600,00
143;10;4;20;4300,00
144;1;1;29;3400,00
145;3;8;32;4900,00
146;6;4;15;5800,00
147;11;4;14;6300,00
148;3;8;31;5200,00
149;2;3;22;30000,00
150;9;4;16;3800,00
152;3;8;32;4700,00
153;5;1;3;21000,00
154;4;4;20;4100,00
155;3;8;31;5000,00
156;7;2;8;175000,00
157;1;4;14;6600,00
158;3;8;32;4800,00
159;8;5;25;58000,00
160;11;4;19;3500,00
162;3;8;31;4900,00
163;6;1;30;3100,00
164;2;4;15;5700,00
165;3;8;32;4600,00
166;10;5;23;14500,00
167;4;4;20;4400,00
168;3;8;31;5100,00
169;5;6;28;38000,00
170;1;4;14;6800,00
172;3;8;32;4800,00
173;9;1;29;3500,00
174;7;4;15;5500,00
175;3;8;31;4700,00
176;11;5;22;22000,00
177;2;4;20;4200,00
178;3;8;32;4900,00
179;6;1;2;25000,00
180;4;4;16;3900,00
182;3;8;31;5200,00
183;1;4;14;6400,00
184;8;7;12;188000,00
185;3;8;32;4600,00
186;5;4;19;3700,00
187;10;5;25;62000,00
188;3;8;31;5000,00
189;2;1;30;3200,00
191;7;4;15;5600,00
192;3;8;32;4800,00
193;11;4;20;4300,00
194;6;1;3;19500,00
195;3;8;31;4900,00
196;4;5;27;16200,00
197;1;4;14;6900,00
198;3;8;32;4700,00
199;9;4;16;4000,00
200;5;6;21;23000,00
201;3;8;31;5100,00
202;2;1;29;3600,00
203;7;4;15;5800,00
204;3;8;32;4800,00
205;10;2;9;62000,00
206;11;4;20;4400,00
207;3;8;31;4600,00
208;1;1;2;26000,00
209;4;4;14;6200,00
210;3;8;32;4900,00
211;6;5;25;55000,00
212;8;4;19;3800,00
213;3;8;31;5200,00
214;5;4;16;4100,00
215;2;1;30;3300,00
216;3;8;32;4700,00
217;9;6;28;44000,00
218;7;4;15;5400,00
219;3;8;31;5000,00
220;11;1;3;23000,00
221;4;4;20;4500,00
222;3;8;32;4800,00
223;1;7;11;98000,00
224;10;4;14;6600,00
225;3;8;31;4900,00
226;2;5;22;32000,00
227;6;4;19;3600,00
228;3;8;32;4600,00
229;5;1;29;3700,00
230;4;4;15;5900,00
231;3;8;31;5100,00
232;8;2;8;192000,00
233;7;4;20;4300,00
234;3;8;32;4800,00
235;1;5;25;68000,00
236;11;4;14;6800,00
237;3;8;31;4700,00
238;9;1;2;28000,00
239;2;4;16;4100,00
240;3;8;32;4900,00
241;6;4;20;4400,00
242;5;6;21;25000,00
243;3;8;31;5200,00
244;10;4;14;6300,00
245;4;1;30;3400,00
246;3;8;32;4700,00
247;7;5;27;17800,00
248;1;4;15;5600,00
249;3;8;31;5000,00
251;11;4;19;3900,00
253;2;1;3;24000,00
254;3;8;32;4800,00
255;6;4;20;4400,00
256;9;3;22;35000,00
257;3;8;31;4900,00
258;5;4;14;6700,00
259;4;1;29;3800,00
260;3;8;32;4600,00
261;8;2;9;72000,00
262;7;4;15;5700,00
263;3;8;31;5100,00
264;10;5;25;72000,00
265;1;4;20;4500,00
266;3;8;32;4800,00
267;11;1;2;30000,00
268;2;4;16;4200,00
269;3;8;31;4700,00
270;6;6;28;48000,00
271;4;4;14;6400,00
272;3;8;32;4900,00
273;5;1;30;3500,00
274;9;4;15;5800,00
276;3;8;31;5200,00
277;7;4;20;4300,00
277;1;7;12;205000,00
278;3;8;32;4700,00
279;10;5;22;38000,00
280;2;4;19;3800,00
281;3;8;31;5000,00
282;11;1;3;25000,00
283;4;4;14;6900,00
284;3;8;32;4800,00
286;6;5;25;75000,00
287;5;4;20;4500,00
288;3;8;31;4900,00
289;8;4;16;4200,00
290;7;1;29;3900,00
291;3;8;32;4600,00
292;1;6;21;28000,00
293;9;4;15;5500,00
294;3;8;31;5100,00
295;2;4;14;6600,00
296;11;5;27;19500,00
297;3;8;32;4800,00
298;4;1;2;32000,00
299;6;4;20;4400,00
300;3;8;31;4700,00
302;10;2;8;215000,00
303;5;4;19;4000,00
304;3;8;32;4900,00
307;7;4;15;5600,00
308;3;8;31;5200,00
308;1;5;25;82000,00
309;9;4;20;4300,00
310;11;1;30;3600,00
311;3;8;32;4700,00
312;2;4;14;6800,00
313;6;6;28;52000,00
314;3;8;31;5000,00
316;4;4;16;4100,00
317;5;1;3;27000,00
318;3;8;32;4800,00
319;8;5;22;42000,00
320;7;4;20;4500,00
321;3;8;31;4900,00
322;10;4;14;6400,00
323;1;1;29;4000,00
324;3;8;32;4700,00
325;11;3;23;16800,00
326;2;4;15;5900,00
327;3;8;31;5100,00
328;6;7;11;105000,00
329;4;4;20;4400,00
330;3;8;32;4800,00
331;9;1;2;35000,00
332;5;4;19;4100,00
333;3;8;31;5200,00
334;7;5;25;88000,00
335;1;4;14;6900,00
336;3;8;32;4600,00
337;10;6;21;32000,00
338;11;4;20;4500,00
339;3;8;31;4900,00
340;2;1;30;3700,00
341;4;4;15;5700,00
343;3;8;32;4800,00
344;6;2;9;68000,00
345;5;4;16;4200,00
346;3;8;31;5000,00
347;8;1;3;28500,00
348;7;4;20;4400,00
349;3;8;32;4700,00
350;9;5;27;22000,00
351;1;4;14;6700,00
352;3;8;31;5200,00
353;10;4;19;4000,00
354;11;1;29;4100,00
355;3;8;32;4900,00
356;2;6;28;58000,00
357;4;4;20;4500,00
358;3;8;31;4800,00
359;6;5;25;92000,00
360;7;4;14;6500,00
361;3;8;32;4700,00
362;5;1;2;38000,00
363;1;4;15;5800,00
364;3;8;31;5100,00
365;9;7;12;220000,00
365;11;4;20;4300,00
