ID_Bairro;Nome_Bairro;Regiao;Populacao_Estimada
1;CPA I;Zona Norte;18200
2;CPA II;Zona Norte;22500
3;CPA III;Zona Norte;16800
4;CPA IV;Zona Norte;19400
5;Coxipó da Ponte;Zona Sul;14600
6;Pedra 90;Zona Leste;28300
7;Grande Terceiro;Zona Sul;21700
8;Pascoal Ramos;Centro;9800
9;Morada do Ouro;Zona Oeste;17200
10;Jardim Leblon;Zona Leste;12400
11;Dom Aquino;Centro;8900
12;São Gonçalo Beira Rio;Zona Sul;11300
13;Planalto;Zona Norte;15600
14;Jardim Imperial;Zona Oeste;13800
15;Tibiriçá;Zona Leste;10200
