ID_Data;ID_Bairro;ID_Fornecedor;ID_Item;Valor_Empenhado
2;6;5;25;185000,00
2;1;8;28;4200,00
3;2;1;1;92000,00
3;7;8;32;3100,00
4;13;8;28;3800,00
5;6;5;21;68000,00
5;3;8;29;5600,00
6;1;2;3;48000,00
6;9;8;28;3500,00
8;11;3;8;38500,00
8;4;8;32;2900,00
9;6;5;26;145000,00
9;2;8;28;4100,00
10;7;2;4;22000,00
10;14;8;29;6200,00
12;6;5;23;9800,00
12;1;4;14;7500,00
13;8;8;28;3600,00
14;3;2;1;105000,00
14;11;8;32;3200,00
15;6;5;25;210000,00
15;5;8;28;4400,00
16;13;1;6;34000,00
17;9;3;12;18500,00
17;2;8;29;5800,00
19;6;5;22;28000,00
19;4;8;28;3700,00
20;7;2;3;56000,00
20;15;8;32;2800,00
21;6;5;26;162000,00
21;1;4;17;12000,00
22;10;8;28;4000,00
23;3;2;1;88000,00
23;11;8;29;6500,00
24;6;5;23;11500,00
24;2;1;5;18000,00
26;8;8;28;3900,00
26;14;3;9;16800,00
27;6;5;25;195000,00
27;13;8;32;3400,00
28;4;2;4;24000,00
29;1;4;15;9000,00
29;9;8;28;4200,00
30;6;5;24;14500,00
30;7;8;29;6100,00
32;3;2;1;118000,00
33;2;8;28;3800,00
33;11;1;7;8500,00
34;6;5;25;220000,00
34;5;8;32;3100,00
35;1;3;10;5800,00
36;13;2;3;62000,00
36;10;8;28;4100,00
37;9;4;16;28000,00
37;6;5;22;32000,00
38;14;8;29;6800,00
39;4;2;6;41000,00
40;8;8;28;3700,00
40;6;5;26;178000,00
41;2;1;4;19000,00
42;3;8;32;3300,00
42;15;4;18;45000,00
43;11;8;28;4300,00
44;6;5;25;235000,00
44;7;2;1;98000,00
45;1;8;29;5900,00
49;9;3;8;42000,00
50;5;8;28;4000,00
50;6;5;21;82000,00
51;13;2;3;74000,00
52;4;8;32;3000,00
53;10;4;19;7800,00
53;6;5;23;13200,00
54;2;8;28;4500,00
